Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{product_id},110,0,73,75.66166999987962,57.19890000182204,212.11459999904037,73.88181818181818,1.849760877180001,0.0,73,75,77,78,84,88,150,180,210,210,210
POST,POST /events,393,0,93,102.68334987287174,64.92600000638049,1493.6476000002585,80.0,6.608691133924912,0.0,93,96,100,100,110,140,170,240,1500,1500,1500
,Aggregated,503,0,90,96.774036182953,57.19890000182204,1493.6476000002585,78.66202783300199,8.458452011104914,0.0,90,94,97,100,110,130,170,190,1500,1500,1500
