Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{product_id},1478,0,70,75.54891238141519,49.26520001026802,1990.6726000044728,75.0,24.940839002504408,0.0,70,73,76,78,82,88,130,150,1900,2000,2000
POST,POST /events,6080,0,88,92.58351582237944,57.3593000008259,1989.8320000065723,80.0,102.59830929311691,0.0,88,93,96,99,110,110,150,170,210,2000,2000
,Aggregated,7558,0,86,89.25232451704137,49.26520001026802,1990.6726000044728,79.02222810267267,127.53914829562132,0.0,86,91,94,97,100,110,150,170,1600,2000,2000
