Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{product_id},11,0,86,99.94161818361714,70.81469999684487,162.6445000001695,72.81818181818181,0.1873407030170078,0.0,86,100,120,120,140,160,160,160,160,160,160
POST,POST /events,41,0,130,151.45170487777227,87.93100000184495,303.1503999955021,80.0,0.6982698930633928,0.0,130,170,170,200,250,270,300,300,300,300,300
,Aggregated,52,0,110,140.55534038477794,70.81469999684487,303.1503999955021,78.48076923076923,0.8856105960804006,0.0,120,150,170,170,230,270,300,300,300,300,300
