Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{product_id},498,0,71,86.86964799162378,49.065500003052875,1830.644299989217,74.62650602409639,8.38662387298902,0.0,71,75,77,79,83,92,150,1200,1800,1800,1800
POST,POST /events,2015,0,90,93.92011523593844,60.93790000886656,1398.1604000000516,80.0,33.933829526250754,0.0,90,94,97,99,110,110,140,160,1300,1400,1400
,Aggregated,2513,0,87,92.52292753690594,49.065500003052875,1830.644299989217,78.93513728611222,42.320453399239774,0.0,87,92,96,98,100,110,140,160,1400,1800,1800
