Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{product_id},965,0,70,71.77688362688511,46.31219999282621,168.93480000726413,75.0,16.28103314189697,0.0,70,74,76,78,81,87,140,150,170,170,170
POST,POST /events,4071,0,88,93.22405467919046,57.390800007851794,2025.4913000098895,80.0,68.68402686079021,0.0,88,93,96,98,100,110,140,170,1800,2000,2000
,Aggregated,5036,0,86,89.11434060741233,46.31219999282621,2025.4913000098895,79.04189833200954,84.96506000268718,0.0,86,91,94,96,100,110,140,160,1400,2000,2000
